City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,maniitsoq,65.4167,-52.9,-3.38,60,16,3.32,GL,1680577960
84,egvekinot,66.3167,-179.1667,-19.02,78,17,1.09,RU,1680577960
85,freeport,40.6576,-73.5832,11.99,83,0,5.14,US,1680577725
86,jumla,29.2747,82.1838,11.55,55,10,1.17,NP,1680577961
87,henties bay,-22.116,14.2845,15.9,89,0,3.89,NA,1680577961
88,cap malheureux,-19.9842,57.6142,24.15,82,85,0.89,MU,1680577961
89,verkh-usugli,52.7,115.1667,-2.6,38,6,4.82,RU,1680577961
90,sao joao da barra,-21.6403,-41.0511,22.24,87,96,2.63,BR,1680577961
91,kodiak,57.79,-152.4072,1.73,93,100,5.14,US,1680577961
92,numata,36.6333,139.05,18.54,19,3,2.16,JP,1680577961
93,fortuna,40.5982,-124.1573,7.59,78,41,3.51,US,1680577961
94,tiksi,71.6872,128.8694,-6.76,84,100,2.42,RU,1680577961
95,illela,13.7292,5.2975,26.38,9,54,2.78,NG,1680577693
96,kuito,-12.3833,16.9333,13.91,97,79,1.37,AO,1680577962
97,cuamba,-14.8031,36.5372,17.5,97,10,0.79,MZ,1680577962
98,thompson,55.7435,-97.8558,-17.83,99,98,1.25,CA,1680577898
99,sioux lookout,50.1001,-91.917,-8.55,89,100,3.52,CA,1680577962
100,torbay,47.6666,-52.7314,-0.79,83,5,3.13,CA,1680577962
101,trairi,-3.2778,-39.2689,23.09,94,100,1.09,BR,1680577754
102,tazovskiy,67.4667,78.7,-12.89,91,100,10.86,RU,1680577962
103,ondjiva,-17.0667,15.7333,19.17,67,73,2.64,AO,1680577962
104,shingu,33.7333,135.9833,17.19,62,84,2.63,JP,1680577962
105,raga,8.4596,25.678,23.05,20,30,0.26,SS,1680577962
106,guanica,17.9716,-66.908,24.47,76,0,3.78,PR,1680577962
107,bengkulu,-3.8004,102.2655,27.77,72,80,1.26,ID,1680577963
108,sucre,-19.0333,-65.2627,13.86,66,98,1.46,BO,1680577963
109,cairns,-16.9167,145.7667,35.04,74,80,4.63,AU,1680577963
110,georgetown,5.4112,100.3354,29.97,74,20,1.03,MY,1680577867
111,andenes,69.3143,16.1194,2.99,75,100,6.17,NO,1680577963
112,kollam,8.8833,76.6,26.97,78,79,3.36,IN,1680577963
113,hilo,19.7297,-155.09,24.85,77,75,1.54,US,1680577872
114,verkhoyansk,67.5447,133.385,-10.27,78,100,1.03,RU,1680577963
115,mollendo,-17.0231,-72.0147,24.3,80,14,0.97,PE,1680577963
116,esperance,-33.8667,121.9,20.42,70,94,5.9,AU,1680577871
